title,uri,raw_ec_thumbnails,raw_ec_shortdesc,raw_lcbo_tastingnotes,raw_lcbo_region_name,raw_country_of_manufacture,raw_lcbo_program,raw_created_at,raw_is_buyable,raw_ec_price,raw_ec_promo_price,raw_ec_final_price,raw_lcbo_unit_volume,raw_lcbo_alcohol_percent,raw_lcbo_sugar_gm_per_ltr,raw_lcbo_bottles_per_pack,raw_sysconcepts,raw_ec_category,raw_ec_category_filter,raw_lcbo_varietal_name,raw_stores_stock,raw_stores_stock_combined,raw_stores_low_stock_combined,raw_stores_low_stock,raw_out_of_stock,stores_inventory,raw_online_inventory,raw_avg_reviews,raw_ec_rating,weighted_rating,raw_view_rank_yearly,raw_view_rank_monthly,raw_sell_rank_yearly,raw_sell_rank_monthly
19 Crimes Shiraz Durif,https://www.lcbo.com/en/19-crimes-shiraz-durif-369777,https://aem.lcbo.com/content/dam/lcbo/products/3/6/9/7/369777.jpg.thumb.319.319.png,"Deep ruby in colour with a purple hue; aromas of coffee, dried fig, floral hint, jam and nutmeg; flavours replay on the aromas with an emphasis on coffee and fig that linger on the finish; moderate balanced acidity and supportive tannin.","Deep ruby in colour with a purple hue; aromas of coffee, dried fig, floral hint, jam and nutmeg; flavours replay on the aromas with an emphasis on coffee and fig that linger on the finish; moderate balanced acidity and supportive tannin.",South Australia,Australia,N/A,1642640334000,true,19.95,N/A,19.95,750,14.5,4.0,1,coffee ; aromas ; supportive tannin ; balanced acidity ; floral hint ; purple hue ; Deep ruby ; finish,"['Collections', 'Collections|Australian BBQ Wines', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Syrah/Shiraz,true,true,false,false,false,20,20,9,4.0,4.312335391390699,1420,977,226,219
Zenato Amarone della Valpolicella Classico,https://www.lcbo.com/en/zenato-amarone-della-valpolicella-classico-413179,https://aem.lcbo.com/content/dam/lcbo/products/4/1/3/1/413179.jpg.thumb.319.319.png,"From a quality-focused family winery, this is big and powerful, even for an Amarone. Rich and plush-textured with luscious chocolate, licorice, prune, nutty and floral flavours. Demands a hearty meal like barbecued back ribs, rack of lamb or steak.","From a quality-focused family winery, this is big and powerful, even for an Amarone. Rich and plush-textured with luscious chocolate, licorice, prune, nutty and floral flavours. Demands a hearty meal like barbecued back ribs, rack of lamb or steak.",Veneto,Italy,['Vintages'],1642640404000,true,54.95,N/A,54.95,750,16.5,6.0,1,hearty meal ; family winery ; rack of lamb ; steak ; ribs ; Amarone,"['Deals', 'Events', 'Vintages', 'Gift Shop', 'Collections', 'Deals|Aeroplan', 'Gift Shop|Holiday', 'Collections|Italy Reds', 'Gift Shop|For the Host', 'Events|Vintages Events', 'Gift Shop|Wedding Gifts', 'Collections|Wines Over $40', 'Vintages|Italian Treasures', 'Collections|Orthodox Easter', 'Vintages|Italian Essentials', 'Collections|Wines for Easter', 'Collections|Top Italian Wines', 'Collections|Summer Weekend Picks', 'Events|Vintages Events|UGCB Event', 'Gift Shop|Wedding Gifts|Under $100', 'Collections|Shop Red Wines by Price', 'Vintages|Wines for Easter and Passover', 'Vintages|Vintages Essentials Collection', 'Gift Shop|Holiday|Host and Hostess Gifts', 'Collections|Shop Red Wines by Price|Over $50', 'Deals|Aeroplan|Spend and Get on Italian products', 'Deals|Aeroplan|Spend and Get on Italian products|Wines', 'Collections|Summer Weekend Picks|Weekend Ready - BBQ Reds', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Corvina Blend,true,true,false,false,false,34,34,12,4.8,4.70610783801924,269,2461,1972,3482
Yvon Mau Merlot Pays d'Aude,https://www.lcbo.com/en/yvon-mau-merlot-pays-d-aude-336743,https://aem.lcbo.com/content/dam/lcbo/products/3/3/6/7/336743.jpg.thumb.319.319.png,"Medium ruby colour; upfront dark fruits and berries, spice and chocolate aromas; dry, light to medium bodied, with juicy dark fruit flavours; fresh, clean, fruit driven style.","Medium ruby colour; upfront dark fruits and berries, spice and chocolate aromas; dry, light to medium bodied, with juicy dark fruit flavours; fresh, clean, fruit driven style.",South of France,France,N/A,1642640287000,true,12.95,N/A,12.95,750,13.5,8.0,1,dark fruits ; medium ; driven style ; chocolate aromas ; ruby colour ; clean ; fresh ; dry,"['Events', 'Collections', 'Events|Vintages Events', 'Collections|Save on Wines', 'Events|Vintages Events|UGCB Event', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|Under $15', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Merlot,true,true,false,false,false,42,42,4,4.5,4.56674088831595,5947,9984,2506,2066
Wolf Blass Red Label Cabernet Merlot,https://www.lcbo.com/en/wolf-blass-red-label-cabernet-merlot-611483,https://aem.lcbo.com/content/dam/lcbo/products/6/1/1/4/611483.jpg.thumb.319.319.png,"Founder Wolfgang Blass has been making wine in South Australia since 1966. This approachable red is bursting with aromas and flavours of ripe cassis, plum, oak, chocolate and fresh mint. It's full-bodied and smooth with a long, velvety finish. Serve with grilled lamb chops alongside cheesy scalloped potatoes.","Founder Wolfgang Blass has been making wine in South Australia since 1966. This approachable red is bursting with aromas and flavours of ripe cassis, plum, oak, chocolate and fresh mint. It's full-bodied and smooth with a long, velvety finish. Serve with grilled lamb chops alongside cheesy scalloped potatoes.",N/A,Australia,N/A,1642640860000,true,17.05,15.05,15.05,750,14.5,4.0,1,scalloped potatoes ; alongside cheesy ; grilled lamb ; velvety finish ; fresh mint ; ripe cassis ; approachable red ; South Australia ; Founder Wolfgang Blass,"['Collections', 'Collections|On Sale', 'Collections|Aeroplan Offers', 'Collections|On Sale|Red Wine', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Collections|Aeroplan Offers|Red Wine', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Blend,false,false,true,true,true,0,0,3,4.3,4.525720956647946,3770,145,1001,394
Zensa Primitivio IGP Puglia,https://www.lcbo.com/en/zensa-primitivio-igp-puglia-31803,https://aem.lcbo.com/content/dam/lcbo/products/0/3/1/8/031803.jpg.thumb.319.319.png,"Primitivo, known in the United States as Zinfandel, has documented plantings dating to the 1800s.  Acclaimed for its rich flavours and smooth textures, Primitivo is a consistent crowd-pleaser. This fruit-forward red shows notes of raspberry, cherry and toasty oak. Enjoy this silky red on its own or with saucy pork ribs.","Primitivo, known in the United States as Zinfandel, has documented plantings dating to the 1800s.  Acclaimed for its rich flavours and smooth textures, Primitivo is a consistent crowd-pleaser. This fruit-forward red shows notes of raspberry, cherry and toasty oak. Enjoy this silky red on its own or with saucy pork ribs.",Puglia,Italy,N/A,1693577333000,true,14.95,N/A,14.95,750,14.0,14.0,1,Primitivo ; pork ribs ; toasty oak ; shows notes ; consistent crowd-pleaser ; smooth textures ; rich flavours ; United States,"['Deals', 'Events', 'Collections', 'Deals|Aeroplan', 'Events|Vintages Events', 'Events|Vintages Events|UGCB Event', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|Under $15', 'Deals|Aeroplan|Spend and Get on Italian products', 'Deals|Aeroplan|Spend and Get on Italian products|Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Primitivo,true,true,false,false,false,14,14,3,5.0,4.687259418186407,1261,1713,1871,1297
Yellow Tail Big Bold Red,https://www.lcbo.com/en/yellow-tail-big-bold-red-350504,https://aem.lcbo.com/content/dam/lcbo/products/3/5/0/5/350504.jpg.thumb.319.319.png,"Deep ruby; bright lifted aromas of smoke, prune, honey and cinnamon; jammy, medium bodied with some sweetness and flavours that include prune, smoke and spiced honey cake.","Deep ruby; bright lifted aromas of smoke, prune, honey and cinnamon; jammy, medium bodied with some sweetness and flavours that include prune, smoke and spiced honey cake.",New South Wales,Australia,N/A,1642640304000,true,17.0,N/A,17.0,750,13.5,16.0,1,honey ; prune ; smoke ; medium bodied ; lifted aromas ; Deep ruby ; flavours ; sweetness,"['Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Blend,true,true,false,false,false,31,31,15,4.3,4.417374897456932,971,5452,667,973
Zenato Ripassa Valpolicella Ripasso Superiore,https://www.lcbo.com/en/zenato-ripassa-valpolicella-superiore-479766,https://aem.lcbo.com/content/dam/lcbo/products/4/7/9/7/479766.jpg.thumb.319.319.png,"Ripasso wines are fondly referred to as 'baby Amarone' by some. Zenato's baby is bigger and richer than most, with intense flavours of chocolate, mixed berry jam, cocoa, smoke and licorice. Pair it with risotto with gorgonzola, or grilled sausages and tomatoes.","Ripasso wines are fondly referred to as 'baby Amarone' by some. Zenato's baby is bigger and richer than most, with intense flavours of chocolate, mixed berry jam, cocoa, smoke and licorice. Pair it with risotto with gorgonzola, or grilled sausages and tomatoes.",Veneto,Italy,['Vintages'],1642640556000,true,29.95,N/A,29.95,750,14.0,7.0,1,baby ; grilled sausages ; berry jam ; intense flavours ; Ripasso wines ; tomatoes ; gorgonzola ; risotto,"['Deals', 'Events', 'Vintages', 'Gift Shop', 'Collections', 'Deals|Aeroplan', 'Collections|Italy Reds', 'Events|Vintages Events', 'Vintages|Italian Treasures', 'Gift Shop|Corporate Gifts ', 'Vintages|Top Red Essentials', 'Vintages|Italian Essentials', 'Collections|Top Italian Wines', 'Vintages|Summer Store Program', 'Collections|Wines for Cottage', 'Vintages|Get to Know Vintages', 'Collections|Vintage Essentials', 'Collections|Summer Weekend Picks', 'Vintages|Red Essentials under $30', 'Vintages|Red Wine Gifts Under $30', 'Events|Vintages Events|UGCB Event', 'Collections|Shop Red Wines by Price', 'Vintages|Wines for Easter and Passover', 'Vintages|Vintages Essentials Collection', 'Vintages|Summer Store Program|Vegetarian', 'Collections|Holiday Wines to Give and Share', 'Vintages|Summer Store Program|Wines under $30', 'Collections|Wines for Cottage|Vegetarian Fare', 'Gift Shop|Corporate Gifts |Premium Wine Gifts', 'Collections|Shop Red Wines by Price|$20 to $30', 'Deals|Aeroplan|Spend and Get on Italian products', 'Deals|Aeroplan|Spend and Get on Italian products|Wines', 'Collections|Summer Weekend Picks|Weekend Ready - Vegetarian Fare', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Corvina/Rondinella/Molinara,true,true,false,false,false,96,96,10,4.7,4.646718621821165,288,466,712,804
Yellow Tail Shiraz,https://www.lcbo.com/en/yellow-tail-shiraz-624544,https://aem.lcbo.com/content/dam/lcbo/products/6/2/4/5/624544.jpg.thumb.319.319.png,"From Australia's largest family-owned wine company, a wine that's easy to drink, and easy to understand. It's dry, medium-bodied and softly structured, with aromas and flavours of coffee, floral note, prune, smoke and licorice. The ripe plummy-berry notes lead to a long, spicy finish. Serve with grilled lamb chops.","From Australia's largest family-owned wine company, a wine that's easy to drink, and easy to understand. It's dry, medium-bodied and softly structured, with aromas and flavours of coffee, floral note, prune, smoke and licorice. The ripe plummy-berry notes lead to a long, spicy finish. Serve with grilled lamb chops.",N/A,Australia,N/A,1642640889000,true,14.95,N/A,14.95,750,13.5,10.0,1,wine ; lamb chops ; spicy finish ; ripe plummy-berry ; flavours of coffee ; licorice ; smoke ; prune,"['Gift Shop', 'Collections', 'Gift Shop|Shop by Price', 'Collections|Great Wines', 'Collections|Wines Under $20', 'Collections|Australian BBQ Wines', 'Collections|Value Wine for the Host', 'Collections|Shop Red Wines by Price', 'Gift Shop|Gifts to Suit Every Budget', 'Gift Shop|Shop by Price|Gifts Under $25 ', 'Collections|Same-Day Pickup Wines for Parties', 'Collections|Shop Red Wines by Price|Under $15', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Syrah,true,true,false,false,false,128,128,8,4.6,4.596354024245739,1375,1034,191,327
Wolf Blass Red Label Shiraz Cabernet Sauvignon,https://www.lcbo.com/en/wolf-blass-red-label-shiraz-cabernet-sauvignon-311795,https://aem.lcbo.com/content/dam/lcbo/products/3/1/1/7/311795.jpg.thumb.319.319.png,"Deep ruby purple colour; extra dry and medium-bodied with medium tannins; lifted aromas and flavours of coffee with cream, black plum reduction, honey and herbs; long finish.","Deep ruby purple colour; extra dry and medium-bodied with medium tannins; lifted aromas and flavours of coffee with cream, black plum reduction, honey and herbs; long finish.",N/A,Australia,N/A,1642640253000,true,16.95,N/A,16.95,750,14.5,4.0,1,long finish ; plum reduction ; lifted aromas ; medium tannins ; extra dry ; purple colour ; flavours of coffee ; herbs,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Deals|Aeroplan|Wolf Blass Wine Aeroplan Offer', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Cabernet Sauvignon,true,true,false,false,false,23,23,1,5.0,4.630397494220299,769,2347,532,769
Xavier Vignon Côtes du Rhône 2020,https://www.lcbo.com/en/xavier-vignon-c-tes-du-rh-ne-2020-297317,https://aem.lcbo.com/content/dam/lcbo/products/2/9/7/3/297317.jpg.thumb.319.319.png,"Aromas of berries, Mediterranean herbs, licorice and smoke. Medium- to full-bodied with silky tannins. Poised and juicy with a vivid finish. Better in a year or two. [Drink through 2027.] Score - 91. (jamessuckling.com, May 22, 2023)","Aromas of berries, Mediterranean herbs, licorice and smoke. Medium- to full-bodied with silky tannins. Poised and juicy with a vivid finish. Better in a year or two. [Drink through 2027.] Score - 91. (jamessuckling.com, May 22, 2023)",Rhône,France,['Vintages'],1654024975000,true,18.95,N/A,18.95,750,14.5,3.0,1,vivid finish ; juicy ; Poised,"['Events', 'Vintages', 'Collections', 'Events|Vintages Events', 'Vintages|Vintages Case Offer', 'Vintages|New Release Collection', 'Collections|Shop Low-Sugar Wines', 'Events|Vintages Events|UGCB Event', 'Vintages|New Release Collection|Previous Releases ', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Grenache Blend,false,false,true,true,true,0,0,6,4.0,4.3708982772764555,1585,2784,2530,N/A
Wakefield Estate Shiraz,https://www.lcbo.com/en/wakefield-estate-shiraz-943787,https://aem.lcbo.com/content/dam/lcbo/products/9/4/3/7/943787.jpg.thumb.319.319.png,"Wakefield is the name used in North America by Australia's eminent Taylor family. Their Clare Valley Shiraz will offer great depth and richness with toast, nuts, prune, herbs and coffee. Pair with lamb.","Wakefield is the name used in North America by Australia's eminent Taylor family. Their Clare Valley Shiraz will offer great depth and richness with toast, nuts, prune, herbs and coffee. Pair with lamb.",South Australia,Australia,['Vintages'],1642641230000,true,19.95,17.95,17.95,750,14.5,3.0,1,Clare Valley Shiraz ; Taylor family ; North America ; coffee ; herbs ; prune ; nuts ; richness,"['Vintages', 'Collections', 'Collections|On Sale', 'Vintages|Wintry Reds', 'Collections|Portable Picks', 'Collections|On Sale|Red Wine', 'Vintages|Summer Store Program', 'Vintages|Better-for-you Wines', 'Vintages|Long weekend Essentials', 'Collections|Shop Low-Sugar Wines', 'Vintages|Red Wine Gifts Under $30', 'Vintages|Red Essentials for the BBQ', 'Collections|Shop Red Wines by Price', 'Vintages|Vintages Essentials Collection', 'Vintages|Favourite Essentials under $20', 'Vintages|Summer Store Program|Save and Earn', 'Vintages|Summer Store Program|Wines under $20', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Syrah,true,true,true,true,false,9,9,10,4.8,4.696718621821164,1018,82,1510,809
Vicente Faria Animus Douro DO,https://www.lcbo.com/en/vicente-faria-animus-douro-do-535641,https://aem.lcbo.com/content/dam/lcbo/products/5/3/5/6/535641.jpg.thumb.319.319.png,"Animus is a classic Portuguese red made from indigenous varieties grown in the prestigious Douro Valley. Expect complex aromas upfront with black plum, chocolate, licorice and spice flavours. The palate is dry and medium-bodied with ripe tannins and a lengthy finish. Enjoy it with roasted red meats, poultry or pizza.","Animus is a classic Portuguese red made from indigenous varieties grown in the prestigious Douro Valley. Expect complex aromas upfront with black plum, chocolate, licorice and spice flavours. The palate is dry and medium-bodied with ripe tannins and a lengthy finish. Enjoy it with roasted red meats, poultry or pizza.",Douro,Portugal,N/A,1642640679000,true,13.45,N/A,13.45,750,13.0,7.0,1,ripe tannins ; spice flavours ; black plum ; aromas upfront ; Douro Valley ; indigenous varieties ; pizza ; poultry,"['Promotions', 'Collections', 'Collections|Red Wines for Dad', 'Collections|Red Wine Best Sellers', 'Collections|Value Wines Under $20', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|Under $15', 'Promotions|LCBO x Aeroplan Program Anniversary', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Red Blend,true,true,false,false,false,51,51,19,4.5,4.53221973918701,261,1628,769,1478
Wakefield Jaraman Cabernet Sauvignon 2022,https://www.lcbo.com/en/wakefield-jaraman-cabernet-sauvignon-2018-142398,https://aem.lcbo.com/content/dam/lcbo/products/1/4/2/3/142398.jpg.thumb.319.319.png,"Garnet color. Aromas and flavors of black cherry, mint, cocoa nibs, and brisket burnt ends with a velvety, lively, dry medium-to-full body and a tingling, delightful, medium-long finish imparting notes of cherry, blackberry, eucalyptus, and black tea with chewy, well-integrated tannins and light oak flavor. Lovely, absolutely lovely; a BTG or stocked up at home, this is a wonderful everyday drinker. Exceptional.  Score - 93. (tastings.com, Aug. 9, 2024)","Garnet color. Aromas and flavors of black cherry, mint, cocoa nibs, and brisket burnt ends with a velvety, lively, dry medium-to-full body and a tingling, delightful, medium-long finish imparting notes of cherry, blackberry, eucalyptus, and black tea with chewy, well-integrated tannins and light oak flavor. Lovely, absolutely lovely; a BTG or stocked up at home, this is a wonderful everyday drinker. Exceptional.  Score - 93. (tastings.com, Aug. 9, 2024)",South Australia,Australia,['Vintages'],1642639797000,true,24.95,N/A,24.95,750,14.5,4.0,1,cherry ; flavors ; everyday drinker ; well-integrated tannins ; imparting notes ; medium-to-full body ; brisket burnt ; cocoa nibs ; Exceptional,"['Vintages', 'Collections', 'Vintages|Vintages Case Offer', 'Vintages|Wines with 90+ scores', 'Vintages|New Release Collection', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Vintages|Top Scoring Vintages Under $25', 'Vintages|Cabernet Sauvignon Around the World', 'Vintages|New Release Collection|March 1 2025', 'Collections|Shop Red Wines by Price|$20 to $30', 'Vintages|New Release Collection|Previous Releases ', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Cabernet Sauvignon,false,false,true,true,true,0,0,2,4.5,4.577864369701941,1153,1071,2184,2772
